1000

1           53.9924     	107.797     	295.004     	
1           53.867      	107.485     	295.946     	
1           53.0869     	107.091     	296.432     	
1           52.2508     	106.649     	296.76      	
1           51.5948     	106.313     	297.434     	
1           51.2499     	105.996     	298.318     	
1           51.1396     	105.46      	299.156     	
1           50.7769     	104.745     	299.753     	
1           50.8251     	104.251     	300.621     	
1           50.7755     	103.975     	301.58      	
1           50.4453     	103.599     	302.447     	
1           50.1161     	102.903     	303.084     	
1           50.289      	102.039     	303.559     	
1           50.2888     	101.126     	303.966     	
1           49.7558     	100.372     	304.348     	
1           48.9036     	99.8637     	304.469     	
1           48.4676     	99.3866     	305.233     	
1           47.9142     	98.8542     	305.874     	
1           47.277      	98.5054     	306.561     	
1           46.5522     	98.0547     	307.081     	
1           46.1792     	97.3469     	307.682     	
1           45.6927     	96.4747     	307.631     	
1           44.89       	95.88       	307.579     	
1           43.9396     	95.6908     	307.333     	
1           43.1468     	95.0817     	307.303     	
1           42.4196     	94.4285     	307.091     	
1           41.736      	94.7296     	306.427     	
1           40.9873     	94.9041     	305.787     	
1           40.2777     	94.9823     	305.088     	
1           40.096      	94.9669     	304.104     	
1           39.5475     	94.8815     	303.273     	
1           39.0007     	95.0526     	302.453     	
1           38.6223     	95.4253     	301.606     	
1           38.167      	95.6604     	300.747     	
1           37.8572     	96.2418     	299.994     	
1           37.8797     	96.7217     	299.116     	
1           38.1394     	97.0569     	298.212     	
1           37.9522     	97.0442     	297.229     	
1           37.7528     	96.6509     	296.331     	
1           37.2533     	95.8891     	295.92      	
1           37.0477     	95.0659     	295.389     	
1           36.7416     	94.133      	295.574     	
1           36.5732     	93.2874     	296.082     	
1           36.37       	92.3926     	296.479     	
1           36.1897     	91.8024     	297.265     	
1           35.5371     	91.2204     	297.752     	
1           34.8025     	90.7176     	298.206     	
1           34.1136     	90.379      	298.847     	
1           33.4706     	89.6232     	298.727     	
1           33.2135     	88.6628     	298.832     	
1           32.9614     	87.7497     	299.157     	
1           32.8134     	86.7659     	299.255     	
1           32.3415     	85.9032     	299.076     	
1           31.6287     	85.2057     	298.993     	
1           30.8276     	84.6565     	299.225     	
1           30.1094     	84.1442     	299.696     	
1           29.2037     	83.9151     	300.054     	
1           28.3488     	84.2336     	300.464     	
1           27.481      	84.2976     	300.955     	
1           26.6918     	83.9741     	301.48      	
1           25.7259     	84.2156     	301.561     	
1           24.8014     	84.5805     	301.675     	
1           24.233      	84.8265     	302.459     	
1           23.5819     	84.4529     	303.119     	
1           22.7398     	84.4631     	303.66      	
1           22.0711     	84.5736     	304.395     	
1           21.6393     	84.8819     	305.243     	
1           21.3045     	85.337      	306.067     	
1           20.4711     	85.4981     	306.596     	
1           19.9138     	86.0304     	307.232     	
1           19.1445     	86.2532     	307.831     	
1           18.8682     	85.9196     	308.733     	
1           18.9934     	85.3577     	309.551     	
1           19.3559     	84.9423     	310.385     	
1           19.5972     	84.5411     	311.269     	
1           20.2234     	84.2201     	311.979     	
1           20.7802     	83.7843     	312.687     	
1           21.2396     	83.1756     	313.334     	
1           21.4659     	82.391      	313.911     	
1           21.9612     	81.7237     	314.467     	
1           22.648      	81.097      	314.834     	
1           23.4621     	80.5375     	314.995     	
1           24.3038     	80.0107     	315.116     	
1           24.8677     	79.4651     	315.734     	
1           25.7672     	79.1088     	315.992     	
1           26.7171     	78.804      	316.048     	
1           27.6331     	78.466      	316.263     	
1           28.5189     	78.1942     	315.885     	
1           29.275      	77.5598     	315.719     	
1           30.0887     	77.0145     	315.918     	
1           31.0742     	76.9109     	316.048     	
1           32.0301     	76.7078     	315.834     	
1           33.0134     	76.8511     	315.943     	
1           33.8392     	77.1799     	316.403     	
1           34.7874     	77.2289     	316.715     	
1           35.5664     	76.6877     	317.034     	
1           36.2485     	76.0096     	317.305     	
1           37.0813     	75.4879     	317.494     	
1           37.7069     	75.135      	318.189     	
1           38.641      	75.147      	318.546     	
1           39.6097     	75.2316     	318.777     	
1           40.5926     	75.3526     	318.64      	
1           41.5783     	75.4761     	318.76      	
1           42.5764     	75.4643     	318.699     	
1           43.533      	75.5369     	318.419     	
1           44.4338     	75.7597     	318.044     	
1           45.3747     	76.0115     	318.264     	
1           46.2665     	76.1556     	318.695     	
1           46.9875     	76.1542     	319.388     	
1           47.2493     	75.5159     	320.111     	
1           47.6321     	74.9653     	320.854     	
1           48.1832     	74.5604     	321.584     	
1           48.9515     	73.9313     	321.467     	
1           49.3869     	73.1387     	321.894     	
1           49.5265     	72.1506     	321.828     	
1           49.1324     	71.2359     	321.916     	
1           48.9152     	70.2609     	321.964     	
1           48.7635     	69.3169     	321.672     	
1           48.8654     	68.3713     	321.359     	
1           48.6752     	67.5638     	320.802     	
1           49.1554     	67.1082     	320.053     	
1           49.8307     	66.6114     	319.507     	
1           50.5832     	66.084      	319.113     	
1           51.122      	65.455      	318.552     	
1           51.5819     	64.6631     	318.149     	
1           52.1728     	63.8932     	317.911     	
1           52.4683     	62.9451     	317.795     	
1           52.59       	61.9786     	318.024     	
1           52.9689     	61.0959     	318.299     	
1           53.2281     	60.1734     	318.587     	
1           53.2252     	59.1897     	318.772     	
1           52.8588     	58.4032     	319.266     	
1           53.1638     	57.6488     	319.847     	
1           52.9979     	56.7026     	320.127     	
1           52.8055     	55.7267     	320.026     	
1           52.6851     	54.7523     	319.839     	
1           52.7542     	53.7555     	319.887     	
1           52.3178     	52.8563     	319.905     	
1           51.6865     	52.1841     	320.293     	
1           51.0519     	51.6951     	320.891     	
1           50.1004     	51.4147     	320.769     	
1           49.2438     	50.9414     	320.559     	
1           48.3221     	50.5676     	320.459     	
1           47.8551     	49.6978     	320.621     	
1           47.5509     	48.7574     	320.473     	
1           46.9046     	48.0243     	320.689     	
1           46.0022     	47.9689     	321.116     	
1           45.1355     	48.115      	321.591     	
1           44.6343     	48.1572     	322.456     	
1           44.4569     	48.4964     	323.379     	
1           43.9203     	48.6422     	324.211     	
1           43.3372     	49.1976     	324.804     	
1           43.1336     	49.8537     	325.531     	
1           42.5615     	50.6        	325.869     	
1           41.8818     	51.1155     	326.393     	
1           40.9138     	51.1387     	326.642     	
1           39.9709     	51.2518     	326.953     	
1           38.9874     	51.2488     	327.139     	
1           38.0158     	51.3257     	326.917     	
1           37.1589     	51.5955     	326.478     	
1           36.3727     	51.6237     	325.86      	
1           35.7465     	51.64       	325.083     	
1           35.1135     	51.3987     	324.347     	
1           34.6182     	50.9593     	323.597     	
1           34.2833     	50.4203     	322.824     	
1           33.7853     	49.8852     	322.142     	
1           33.1496     	49.4067     	321.536     	
1           32.4131     	48.8426     	321.16      	
1           31.8279     	48.3817     	320.493     	
1           31.0787     	47.8447     	320.107     	
1           30.3225     	47.2071     	319.963     	
1           29.5105     	46.6671     	319.738     	
1           28.5183     	46.5583     	319.782     	
1           27.5264     	46.6391     	319.68      	
1           26.7679     	47.2895     	319.727     	
1           26.0348     	47.6883     	320.278     	
1           25.1476     	48.0402     	320.576     	
1           24.263      	48.1296     	321.034     	
1           23.7945     	48.0254     	321.911     	
1           23.2454     	47.3972     	322.463     	
1           22.4542     	47.6086     	323.037     	
1           21.8387     	48.0729     	323.674     	
1           21.2456     	48.6214     	324.263     	
1           20.8786     	49.3119     	324.886     	
1           20.2871     	49.9373     	325.394     	
1           19.8328     	50.48       	326.102     	
1           19.5415     	51.2292     	326.695     	
1           18.9831     	52.0528     	326.794     	
1           18.5918     	52.9691     	326.706     	
1           17.9315     	53.6784     	326.952     	
1           17.3273     	54.4615     	327.104     	
1           16.6313     	55.1735     	327.013     	
1           16.4773     	56.1149     	326.712     	
1           16.7872     	56.5465     	325.864     	
1           17.2953     	56.9761     	325.119     	
1           17.829      	57.3332     	324.353     	
1           18.0915     	57.6047     	323.426     	
1           17.7702     	57.9266     	322.535     	
1           17.9875     	58.5232     	321.764     	
1           17.6755     	59.0558     	320.977     	
1           17.249      	59.5599     	320.228     	
1           16.6979     	60.2527     	319.76      	
1           16.4699     	61.1396     	319.357     	
1           16.2873     	61.976      	318.841     	
1           15.6475     	62.663      	318.497     	
1           15.2087     	63.5338     	318.277     	
1           14.28       	63.8641     	318.111     	
1           13.6228     	64.5954     	317.918     	
1           13.0291     	65.3924     	317.809     	
1           12.3914     	66.1602     	317.752     	
1           11.7809     	66.9161     	317.514     	
1           11.6219     	67.9019     	317.537     	
1           11.944      	68.8296     	317.725     	
1           11.9127     	69.8271     	317.659     	
1           11.9288     	70.6817     	317.139     	
1           11.9217     	71.6309     	316.825     	
1           12.2765     	72.4872     	316.452     	
1           12.2424     	73.4783     	316.586     	
1           11.9444     	74.4195     	316.749     	
1           11.2998     	75.0684     	317.154     	
1           10.7011     	75.8683     	317.182     	
1           10.1255     	76.4943     	316.657     	
1           9.86429     	76.7021     	315.715     	
1           9.29284     	77.2387     	315.093     	
1           8.68963     	77.8726     	314.61      	
1           8.21706     	78.6279     	314.155     	
1           7.45204     	79.2099     	313.878     	
1           6.85918     	79.773      	313.304     	
1           6.08121     	80.303      	312.966     	
1           5.29022     	80.7004     	312.498     	
1           4.52346     	81.2119     	312.112     	
1           3.89036     	81.8066     	311.616     	
1           3.48856     	82.3555     	310.883     	
1           2.85409     	82.7288     	310.205     	
1           2.75767     	82.6278     	309.215     	
1           2.6153      	82.4456     	308.243     	
1           2.03492     	81.823      	307.717     	
1           1.65687     	81.0406     	307.224     	
1           1.50146     	80.3412     	306.526     	
1           1.20769     	79.6806     	305.836     	
1           0.743612    	79.1647     	305.114     	
1           0.538619    	79.1077     	304.138     	
1           0.0555975   	79.4496     	303.332     	
1           -0.609014   	79.6741     	302.619     	
1           -0.88942    	80.0163     	301.723     	
1           -1.14814    	80.6899     	301.03      	
1           -1.66785    	81.0468     	300.252     	
1           -1.79545    	81.7078     	299.515     	
1           -2.08607    	82.0096     	298.607     	
1           -2.54795    	82.31       	297.771     	
1           -3.23047    	82.3753     	297.044     	
1           -4.2265     	82.3496     	297.112     	
1           -5.10698    	82.8216     	297.17      	
1           -6.03885    	83.0521     	297.453     	
1           -6.59088    	83.5981     	298.082     	
1           -7.25282    	84.1274     	298.612     	
1           -8.11169    	84.3121     	299.089     	
1           -8.75053    	84.7889     	299.696     	
1           -9.67828    	84.9761     	299.375     	
1           -10.6582    	84.9556     	299.175     	
1           -11.6428    	84.7977     	299.092     	
1           -12.4485    	84.207      	299.083     	
1           -12.9701    	83.3777     	299.286     	
1           -13.0649    	82.7112     	300.026     	
1           -12.642     	82.1204     	300.711     	
1           -12.8542    	81.4222     	301.394     	
1           -13.1353    	80.817      	302.141     	
1           -13.4732    	80.0304     	302.656     	
1           -13.7456    	79.1221     	302.974     	
1           -13.4429    	78.2686     	303.399     	
1           -13.2607    	77.2991     	303.561     	
1           -13.1764    	76.386      	303.96      	
1           -13.048     	75.4068     	304.115     	
1           -12.4441    	74.6291     	304.296     	
1           -11.7886    	73.9309     	304.007     	
1           -11.6895    	72.9724     	304.273     	
1           -11.4469    	72.0458     	304.56      	
1           -11.1709    	71.3569     	305.231     	
1           -10.757     	70.7663     	305.922     	
1           -10.1524    	70.6595     	306.711     	
1           -9.62794    	71.2135     	307.357     	
1           -8.80343    	71.7798     	307.418     	
1           -8.01805    	72.3173     	307.722     	
1           -7.18374    	72.8319     	307.921     	
1           -6.37619    	73.2075     	308.375     	
1           -5.60558    	73.1931     	309.012     	
1           -4.84584    	73.0638     	309.649     	
1           -3.88684    	72.8196     	309.801     	
1           -2.91126    	72.6574     	309.662     	
1           -1.92367    	72.5122     	309.607     	
1           -0.957446   	72.489      	309.865     	
1           -0.177081   	72.3034     	310.463     	
1           0.744964    	72.4567     	310.82      	
1           1.40191     	73.0601     	311.271     	
1           1.86564     	73.9126     	311.512     	
1           2.272       	74.7871     	311.779     	
1           2.48023     	75.585      	312.344     	
1           2.57921     	76.3916     	312.927     	
1           2.35142     	77.2952     	313.291     	
1           2.1519      	78.1187     	313.82      	
1           1.82311     	79.0279     	314.077     	
1           1.53805     	79.4939     	314.914     	
1           1.85746     	80.1684     	315.578     	
1           2.19645     	80.6474     	316.391     	
1           2.76244     	80.8185     	317.195     	
1           3.45948     	80.8884     	317.909     	
1           4.2456      	81.2384     	318.418     	
1           4.79673     	81.7234     	319.096     	
1           5.40709     	82.3299     	319.61      	
1           5.91909     	82.8586     	320.285     	
1           6.11764     	82.9327     	321.262     	
1           6.37914     	83.1059     	322.212     	
1           6.9142      	82.9763     	323.047     	
1           7.63199     	82.4665     	323.521     	
1           8.41801     	81.9945     	323.921     	
1           9.11526     	81.4043     	324.325     	
1           9.85582     	80.8436     	324.699     	
1           10.7611     	80.4271     	324.638     	
1           11.5719     	79.87       	324.458     	
1           12.5444     	79.7942     	324.235     	
1           13.5443     	79.8095     	324.22      	
1           14.4054     	79.8969     	324.724     	
1           15.3167     	79.8282     	325.128     	
1           16.072      	79.7394     	325.779     	
1           16.7473     	79.1992     	326.278     	
1           17.2323     	78.5384     	326.852     	
1           17.8794     	78.1213     	327.49      	
1           18.4453     	77.8564     	328.269     	
1           18.6816     	77.4157     	329.136     	
1           19.343      	76.6977     	329.355     	
1           20.2874     	76.4626     	329.123     	
1           21.0592     	76.1019     	329.644     	
1           21.5078     	75.6389     	330.408     	
1           21.9974     	75.5004     	331.269     	
